Time,Error,Delta_Error,PID_Output_Power,Measured_Temperature,True_Temperature,Setpoint,Ambient_Temp
0,-0.17549430826461077,-0.17549430826461077,0.0,25.17549430826461,25.0,25,25
1,-0.4306914687633778,-0.25519716049876706,0.0,25.430691468763378,25.0,25,25
2,0.04717451046304433,0.47786597922642216,1.0,24.952825489536956,25.0,25,25
3,0.42258842250074835,0.375413912037704,1.0,24.57741157749925,25.29925124843906,25,25
4,-1.1131367630101074,-1.5357251855108558,0.0,26.113136763010107,25.597009975049914,25,25
5,-0.5236199370280623,0.5895168259820451,1.0,25.523619937028062,25.594032375377175,25,25
6,-0.5494077401613175,-0.025787803133255238,0.0,25.549407740161318,25.89032087498382,25,25
7,-0.3542510328845019,0.19515670727681567,1.0,25.354251032884502,25.88588038109465,25,25
8,-0.6230044686234102,-0.2687534357389083,0.0,25.62300446862341,26.180713282700207,25,25
9,-2.4839565789316573,-1.8609521103082471,0.0,27.483956578931657,26.174824450635263,25,25
10,-1.3318712510368655,1.1520853278947918,1.0,26.331871251036866,26.168964989242774,25,25
11,-2.0088257019583793,-0.6769544509215137,0.0,27.00882570195838,26.46238600047496,25,25
12,-1.149905966521171,0.8589197354372082,1.0,26.14990596652117,26.455092319869262,25,25
13,-1.160759848041785,-0.01085388152061384,0.0,26.160759848041785,26.74708626508641,25,25
14,-1.8670568138048687,-0.7062969657630838,0.0,26.86705681380487,26.738372635987112,25,25
15,-2.4671030344152456,-0.6000462206103769,0.0,27.467103034415246,26.729702466294256,25,25
16,-2.3807915370496744,0.0863114973655712,0.0,27.380791537049674,26.721075539253146,25,25
17,-1.8871359410621515,0.49365559598752284,1.0,26.88713594106215,26.712491639190155,25,25
18,-2.538612263643497,-0.6514763225813454,0.0,27.538612263643497,27.0032017999464,25,25
19,-2.013134928664133,0.5254773349793638,1.0,27.013134928664133,26.99321078928791,25,25
20,-2.7039552073717097,-0.6908202787075766,0.0,27.70395520737171,27.282520857442027,25,25
21,-2.7992963961975974,-0.09534118882588771,0.0,27.799296396197597,27.271136737172398,25,25
22,-2.6720066217199374,0.12728977447766,0.0,27.672006621719937,27.259809395439486,25,25
23,-2.20195466326685,0.47005195845308734,1.0,27.20195466326685,27.24853854905916,25,25
24,-2.29754983479328,-0.09559517152642982,0.0,27.29754983479328,27.536575164698732,25,25
25,-2.347307913567988,-0.04975807877470828,0.0,27.347307913567988,27.523923943285475,25,25
26,-2.6083151610258923,-0.26100724745790416,0.0,27.608315161025892,27.511335820102254,25,25
27,-2.455714830612642,0.15260033041325016,0.0,27.455714830612642,27.498810480445332,25,25
28,-2.701555758102984,-0.2458409274903417,0.0,27.701555758102984,27.48634761118057,25,25
29,-3.41311920465202,-0.7115634465490359,0.0,28.41311920465202,27.473946900735584,25,25
30,-2.1671980198686107,1.245921184783409,1.0,27.16719801986861,27.461608039091967,25,25
31,-3.026344492513161,-0.8591464726445501,0.0,28.02634449251316,27.748581966216598,25,25
32,-2.8378674656250276,0.18847702688813328,0.0,27.837867465625028,27.734873356469475,25,25
33,-2.8256208988830913,0.012246566741936249,0.0,27.82562089888309,27.721233118698702,25,25
34,-2.961746292288808,-0.13612539340571672,0.0,27.961746292288808,27.70766091189763,25,25
35,-2.955879557441847,0.005866734846961208,0.0,27.955879557441847,27.69415639676038,25,25
36,-2.4833224616167904,0.47255709582505645,1.0,27.48332246161679,27.68071923567337,25,25
37,-3.1500493703033463,-0.6667269086865559,0.0,28.150049370303346,27.96660034114593,25,25
38,-2.8105808766401417,0.33946849366320464,0.0,27.81058087664014,27.951804360217473,25,25
39,-2.584081863934319,0.22649901270582262,0.0,27.58408186393432,27.937082174551758,25,25
40,-2.395814483470609,0.18826738046371005,0.0,27.39581448347061,27.92243341609338,25,25
41,-4.246078989668838,-1.8502645061982292,0.0,29.24607898966884,27.907857718622616,25,25
42,-2.8179125271128598,1.4281664625559785,1.0,27.81791252711286,27.893354717746266,25,25
43,-3.233349300040942,-0.4154367729280821,0.0,28.233349300040942,28.178175299327616,25,25
44,-3.678639663614767,-0.44529036357382523,0.0,28.678639663614767,28.162324083892916,25,25
45,-3.978339783200628,-0.29970011958586085,0.0,28.978339783200628,28.146551926725017,25,25
46,-3.9910460487833603,-0.012706265582732357,0.0,28.99104604878336,28.13085843351917,25,25
47,-2.820887819774498,1.1701582290088623,1.0,27.820887819774498,28.115243211937226,25,25
48,-3.550983118836477,-0.7300952990619791,0.0,28.550983118836477,28.398957120036894,25,25
49,-2.4939196841343936,1.0570634347020835,1.0,27.493919684134394,28.38200475067753,25,25
50,-4.073804420286116,-1.5798847361517225,0.0,29.073804420286116,28.664388180052143,25,25
51,-3.6470909485662695,0.42671347171984664,0.0,28.64709094856627,28.646111967758042,25,25
52,-2.407858323238962,1.2392326253273076,1.0,27.407858323238962,28.62792690845304,25,25
53,-4.143736036307157,-1.735877713068195,0.0,29.143736036307157,28.909083795948767,25,25
54,-4.917981454740865,-0.7742454184337078,0.0,29.917981454740865,28.889587159178927,25,25
55,-4.260683181574176,0.6572982731666883,0.7634375386455012,29.260683181574176,28.870187762290644,25,25
56,-4.032143400338878,0.22853978123529828,0.0,29.032143400338878,29.079344756842904,25,25
57,-3.5486265643759936,0.48351683596288453,0.0,28.548626564375994,29.058998939987926,25,25
58,-3.8879991319952296,-0.33937256761923607,0.0,28.88799913199523,29.038754598317855,25,25
59,-3.8269275477875766,0.06107158420765302,0.0,28.826927547787577,29.018611225723095,25,25
60,-4.172957937581998,-0.34603038979442147,0.0,29.172957937581998,28.998568318618283,25,25
61,-4.235824198665277,-0.06286626108327908,0.0,29.235824198665277,28.978625375929692,25,25
62,-3.674435040230769,0.5613891584345083,0.0,28.67443504023077,28.95878189908272,25,25
63,-3.650291302129723,0.024143738101045642,0.0,28.650291302129723,28.939037391989412,25,25
64,-3.7415984755248317,-0.09130717339510852,0.0,28.74159847552483,28.919391361036062,25,25
65,-4.61652385362212,-0.8749253780972879,0.0,29.61652385362212,28.899843315070875,25,25
66,-3.7167954453737444,0.8997284082483752,1.0,28.716795445373744,28.880392765391683,25,25
67,-4.779837510769614,-1.0630420653958694,0.0,29.779837510769614,29.160290474172786,25,25
68,-3.5924850862503455,1.1873524245192684,1.0,28.592485086250345,29.13954093886836,25,25
69,-3.814507435003641,-0.22202234875329552,0.0,28.81450743500364,29.418146140742074,25,25
